sector,from_iso3,to_iso3,flow_value,import_propensity,factor,dggo
Agriculture,GBR,USA,21317642.842334922,0.0051115242852024217,1.0,0
Agriculture,GBR,USA,21317642.842334922,0.0051115242852024217,0.8,-2338537
Agriculture,GBR,USA,21317642.842334922,0.0051115242852024217,0.6,-4681894
Agriculture,GBR,USA,21317642.842334922,0.0051115242852024217,0.4,-7030080
Agriculture,GBR,USA,21317642.842334922,0.0051115242852024217,0.2,-9383113
Agriculture,GBR,USA,21317642.842334922,0.0051115242852024217,0.0,-11740972
Agriculture,CHN,USA,105822485.08459681,0.025374015618470754,1.0,0
Agriculture,CHN,USA,105822485.08459681,0.025374015618470754,0.8,-15776883
Agriculture,CHN,USA,105822485.08459681,0.025374015618470754,0.6,-31715710
Agriculture,CHN,USA,105822485.08459681,0.025374015618470754,0.4,-47819243
Agriculture,CHN,USA,105822485.08459681,0.025374015618470754,0.2,-64090026
Agriculture,CHN,USA,105822485.08459681,0.025374015618470754,0.0,-80530696
Agriculture,USA,GBR,49814139.072741717,0.036583231210575558,1.0,0
Agriculture,USA,GBR,49814139.072741717,0.036583231210575558,0.8,-8515222
Agriculture,USA,GBR,49814139.072741717,0.036583231210575558,0.6,-17156893
Agriculture,USA,GBR,49814139.072741717,0.036583231210575558,0.4,-25928077
Agriculture,USA,GBR,49814139.072741717,0.036583231210575558,0.2,-34831694
Agriculture,USA,GBR,49814139.072741717,0.036583231210575558,0.0,-43870771
Agriculture,CHN,GBR,22655062.555716153,0.016637753999031439,1.0,0
Agriculture,CHN,GBR,22655062.555716153,0.016637753999031439,0.8,-3088452
Agriculture,CHN,GBR,22655062.555716153,0.016637753999031439,0.6,-6197404
Agriculture,CHN,GBR,22655062.555716153,0.016637753999031439,0.4,-9327277
Agriculture,CHN,GBR,22655062.555716153,0.016637753999031439,0.2,-12478291
Agriculture,CHN,GBR,22655062.555716153,0.016637753999031439,0.0,-15650692
Agriculture,USA,CHN,1464977702.2277825,0.28220478296408741,1.0,0
Agriculture,USA,CHN,1464977702.2277825,0.28220478296408741,0.8,-231600371
Agriculture,USA,CHN,1464977702.2277825,0.28220478296408741,0.6,-492666796
Agriculture,USA,CHN,1464977702.2277825,0.28220478296408741,0.4,-789204641
Agriculture,USA,CHN,1464977702.2277825,0.28220478296408741,0.2,-1128970200
Agriculture,USA,CHN,1464977702.2277825,0.28220478296408741,0.0,-1522158841
Agriculture,GBR,CHN,6478313.8670127336,0.0012479446997953735,1.0,0
Agriculture,GBR,CHN,6478313.8670127336,0.0012479446997953735,0.8,-496398
Agriculture,GBR,CHN,6478313.8670127336,0.0012479446997953735,0.6,-993053
Agriculture,GBR,CHN,6478313.8670127336,0.0012479446997953735,0.4,-1489951
Agriculture,GBR,CHN,6478313.8670127336,0.0012479446997953735,0.2,-1987077
Agriculture,GBR,CHN,6478313.8670127336,0.0012479446997953735,0.0,-2484516
Financial Services,GBR,USA,66887949.544771507,0.0099544149447007291,1.0,0
Financial Services,GBR,USA,66887949.544771507,0.0099544149447007291,0.8,-21273152
Financial Services,GBR,USA,66887949.544771507,0.0099544149447007291,0.6,-42631292
Financial Services,GBR,USA,66887949.544771507,0.0099544149447007291,0.4,-64075041
Financial Services,GBR,USA,66887949.544771507,0.0099544149447007291,0.2,-85604878
Financial Services,GBR,USA,66887949.544771507,0.0099544149447007291,0.0,-107221210
Financial Services,CHN,USA,2697831.552222061,0.00040149735347693393,1.0,0
Financial Services,CHN,USA,2697831.552222061,0.00040149735347693393,0.8,-831104
Financial Services,CHN,USA,2697831.552222061,0.00040149735347693393,0.6,-1662378
Financial Services,CHN,USA,2697831.552222061,0.00040149735347693393,0.4,-2493757
Financial Services,CHN,USA,2697831.552222061,0.00040149735347693393,0.2,-3325268
Financial Services,CHN,USA,2697831.552222061,0.00040149735347693393,0.0,-4156954
Financial Services,USA,GBR,107783915.90068172,0.015726226565689474,1.0,0
Financial Services,USA,GBR,107783915.90068172,0.015726226565689474,0.8,-36816923
Financial Services,USA,GBR,107783915.90068172,0.015726226565689474,0.6,-73866908
Financial Services,USA,GBR,107783915.90068172,0.015726226565689474,0.4,-111152147
Financial Services,USA,GBR,107783915.90068172,0.015726226565689474,0.2,-148674923
Financial Services,USA,GBR,107783915.90068172,0.015726226565689474,0.0,-186437557
Financial Services,CHN,GBR,2735727.5148019688,0.00039915668641515975,1.0,0
Financial Services,CHN,GBR,2735727.5148019688,0.00039915668641515975,0.8,-836623
Financial Services,CHN,GBR,2735727.5148019688,0.00039915668641515975,0.6,-1673431
Financial Services,CHN,GBR,2735727.5148019688,0.00039915668641515975,0.4,-2510333
Financial Services,CHN,GBR,2735727.5148019688,0.00039915668641515975,0.2,-3347353
Financial Services,CHN,GBR,2735727.5148019688,0.00039915668641515975,0.0,-4184556
Financial Services,USA,CHN,7974977.6757928878,0.015578276162994014,1.0,0
Financial Services,USA,CHN,7974977.6757928878,0.015578276162994014,0.8,-2700267
Financial Services,USA,CHN,7974977.6757928878,0.015578276162994014,0.6,-5417478
Financial Services,USA,CHN,7974977.6757928878,0.015578276162994014,0.4,-8151748
Financial Services,USA,CHN,7974977.6757928878,0.015578276162994014,0.2,-10903336
Financial Services,USA,CHN,7974977.6757928878,0.015578276162994014,0.0,-13672286
Financial Services,GBR,CHN,5018586.4503504997,0.0098032783099479999,1.0,0
Financial Services,GBR,CHN,5018586.4503504997,0.0098032783099479999,0.8,-1569834
Financial Services,GBR,CHN,5018586.4503504997,0.0098032783099479999,0.6,-3145852
Financial Services,GBR,CHN,5018586.4503504997,0.0098032783099479999,0.4,-4728065
Financial Services,GBR,CHN,5018586.4503504997,0.0098032783099479999,0.2,-6316575
Financial Services,GBR,CHN,5018586.4503504997,0.0098032783099479999,0.0,-7911340
Food,GBR,USA,123124297.95800933,0.02845293477418348,1.0,0
Food,GBR,USA,123124297.95800933,0.02845293477418348,0.8,-9720329
Food,GBR,USA,123124297.95800933,0.02845293477418348,0.6,-19552934
Food,GBR,USA,123124297.95800933,0.02845293477418348,0.4,-29499811
Food,GBR,USA,123124297.95800933,0.02845293477418348,0.2,-39562889
Food,GBR,USA,123124297.95800933,0.02845293477418348,0.0,-49744250
Food,CHN,USA,206920517.22573417,0.047817498882893224,1.0,0
Food,CHN,USA,206920517.22573417,0.047817498882893224,0.8,-38498770
Food,CHN,USA,206920517.22573417,0.047817498882893224,0.6,-77750586
Food,CHN,USA,206920517.22573417,0.047817498882893224,0.4,-117778043
Food,CHN,USA,206920517.22573417,0.047817498882893224,0.2,-158604364
Food,CHN,USA,206920517.22573417,0.047817498882893224,0.0,-200253676
Food,USA,GBR,168715306.28824985,0.022474103876887499,1.0,0
Food,USA,GBR,168715306.28824985,0.022474103876887499,0.8,-19971571
Food,USA,GBR,168715306.28824985,0.022474103876887499,0.6,-40125163
Food,USA,GBR,168715306.28824985,0.022474103876887499,0.4,-60463565
Food,USA,GBR,168715306.28824985,0.022474103876887499,0.2,-80989253
Food,USA,GBR,168715306.28824985,0.022474103876887499,0.0,-101704935
Food,CHN,GBR,56397875.60282629,0.0075126065477911621,1.0,0
Food,CHN,GBR,56397875.60282629,0.0075126065477911621,0.8,-7242001
Food,CHN,GBR,56397875.60282629,0.0075126065477911621,0.6,-14505721
Food,CHN,GBR,56397875.60282629,0.0075126065477911621,0.4,-21791496
Food,CHN,GBR,56397875.60282629,0.0075126065477911621,0.2,-29099488
Food,CHN,GBR,56397875.60282629,0.0075126065477911621,0.0,-36429756
Food,USA,CHN,360065662.54962146,0.11204871034757646,1.0,0
Food,USA,CHN,360065662.54962146,0.11204871034757646,0.8,-93460226
Food,USA,CHN,360065662.54962146,0.11204871034757646,0.6,-191305152
Food,USA,CHN,360065662.54962146,0.11204871034757646,0.4,-293850759
Food,USA,CHN,360065662.54962146,0.11204871034757646,0.2,-401444171
Food,USA,CHN,360065662.54962146,0.11204871034757646,0.0,-514467472
Food,GBR,CHN,29172866.95799873,0.0090782944883968375,1.0,0
Food,GBR,CHN,29172866.95799873,0.0090782944883968375,0.8,-4627875
Food,GBR,CHN,29172866.95799873,0.0090782944883968375,0.6,-9272622
Food,GBR,CHN,29172866.95799873,0.0090782944883968375,0.4,-13934322
Food,GBR,CHN,29172866.95799873,0.0090782944883968375,0.2,-18613105
Food,GBR,CHN,29172866.95799873,0.0090782944883968375,0.0,-23308994
